Feature,authentic,gpt3.5,gpt4
out,0.002739499,0.001134002,0.000936696
would,0.00340094,0.001671514,0.001022236
by,0.004236508,0.005105145,0.007096325
again,0.001313029,5.248760331764308e-05,6.637906790137868e-05
hasn't,0,0,0
myself,0.000555317,0.000280692,0.000116763
down,0.001597673,0.001478004,0.000537551
could,0.002714895,0.001629174,0.001131102
theirs,2.0143517156305474e-05,2.236479119022724e-05,1.3526411168404233e-05
from,0.003462147,0.002597649,0.00358067
while,0.000797789,0.000352613,0.000490612
with,0.009097036,0.013989050002738108,0.012323842518191623
who,0.002309333,0.00202834,0.000912792
against,0.00043352,0.001257523,0.001739695
doing,0.000213355,9.046095217235952e-06,1.0087409603118366e-05
you're,0,0,0
mustn't,0,0,0
it,0.013089433865110394,0.003364679,0.003908989
shouldn't,0,0,0
haven't,0,0,0
most,0.000810171,0.000441039,0.000551011
whom,0.000427758,2.4307084823165682e-05,4.134148372664828e-05
can,0.001583782,0.000312402,0.000145311
at,0.006545863,0.002152282,0.001725558
been,0.002861407,0.000394339,0.000366678
those,0.000628361,0.001181812,0.000898792
being,0.001110089,0.000126925,0.000278549
when,0.003382339,0.000827258,0.000452385
where,0.001026276,0.005416018,0.001539908
their,0.002163416,0.005343542,0.00508985
was,0.013538948748500989,0.00594583,0.008994241
never,0.00154175,0.000369782,0.000198234
nor,0.000360912,7.493643602403013e-05,0.000283919
these,0.000986993,0.000723976,0.000699029
did,0.001854763,0.000628493,0.000415115
we,0.002957543,0.000987062,0.000511233
such,0.00161656,0.000491947,0.000774086
because,0.000492174,5.094200642574698e-06,1.0305625181242233e-05
up,0.002792925,0.000701211,0.00035791
few,0.000469306,0.000124879,9.373930807093795e-05
more,0.002162949,0.000531032,0.000960962
made,0.001374855,0.000340763,0.000264765
yours,9.411052261843973e-05,5.913173029075936e-06,1.1820330969267e-06
should've,0,0,0
go,0.001273491,0.000112209,1.4759519324032534e-05
to,0.028624478706751666,0.014535377452020925,0.013528468416803064
yourself,0.00024186,5.7668043299252344e-05,1.3342686891300382e-05
only,0.001421945,0.000771914,0.00115925
so,0.004754022,0.00073213,0.000815231
might,0.00121398,0.000240183,0.000402299
own,0.001234351,0.001046265,0.000992974
now,0.002084203,0.000738194,0.000659977
if,0.00361578,0.000980428,0.000846199
upon,0.001752168,0.003001199,0.002819765
didn't,0,0,0
both,0.000537508,0.000799763,0.000667163
say,0.001377886,0.000109537,6.217000628182556e-05
said,0.005109479,0.000122901,4.5137625736714985e-05
ask,0.000333511,9.710394107761444e-06,3.56670337570165e-06
asked,0.00063971,3.230588710004143e-06,9.422942599033583e-06
reply ,0,0,0
replied,0.000518762,3.146466118244502e-05,0
NN,0.17026555101050062,0.22651778489690236,0.2373401910793202
NNS,0.036808532,0.072941023,0.062337879
NNP,0.000133537,5.8894913589246384e-05,7.401088523407439e-05
NNPS,4.7077545888154455e-06,0,1.1415525114155167e-06
VB,0.046932044869707305,0.018885510124895973,0.013016513500164782
VBD,0.068438694,0.05285245,0.050766656
VBG,0.019900639,0.023316927266042987,0.028578253226841724
VBN,0.02787869,0.024098433,0.026900981967652088
VBP,0.021063631,0.01072375,0.006026069
VBZ,0.013294228951421959,0.010691299201080123,0.006753478
JJ,0.075389197,0.083381824,0.10842167667394939
JJR,0.002783875,0.001145334,0.001320114
JJS,0.001949815,0.001435304,0.001530926
RB,0.061806240048465286,0.028975359136646513,0.036157189
RBR,0.00175714,0.000646344,0.000806225
RBS,0.000642443,0.00043021,0.000453327
PRP,0.068874428,0.02328179,0.017796602
PRP$,0.031833072690772735,0.034754346708938996,0.037290213
IN,0.1272293312311573,0.16450466734316457,0.16299033749842998
DT,0.097136377,0.14153845495989212,0.139197269
